Sl. No.,Management,District,Lower Primary,,,Upper Primary,,, Elementary Schools,,,Secondary,,,Higher Secondary(PU Sections) ,,
,,,Rural,Urban,Total,Rural,Urban,Total,Rural,Urban,Total,Rural,Urban,Total,Rural,Urban,Total
95,2-Tribal Welfare Department Schools,TUMAKURU-2918,1,2,3,20,4,24,21,6,27,10,1,11,2,0,2
96,2-Tribal Welfare Department Schools,UDUPI-2916,1,0,1,7,0,7,8,0,8,7,0,7,1,0,1
97,2-Tribal Welfare Department Schools,UTTARA KANNADA SIRSI-2934,0,2,2,9,1,10,9,3,12,9,1,10,1,1,2
98,2-Tribal Welfare Department Schools,UTTARA KANNADA-2910,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
99,2-Tribal Welfare Department Schools,VIJAYAPURA-2903,2,0,2,19,8,27,21,8,29,18,7,25,2,1,3
100,2-Tribal Welfare Department Schools,YADAGIRI-2933,0,1,1,3,1,4,3,2,5,3,1,4,0,0,0
101,2-Tribal Welfare Department Schools,,77,28,105,529,161,690,606,189,795,454,121,575,40,21,61
102,3-Local body,BELAGAVI CHIKKODI-2930,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0
103,3-Local body,BELAGAVI-2901,0,0,0,0,1,1,0,1,1,0,2,2,0,0,0
104,3-Local body,BENGALURU U NORTH-2928,0,0,0,1,4,5,1,4,5,0,16,16,0,4,4
105,3-Local body,BENGALURU U SOUTH-2920,0,1,1,0,9,9,0,10,10,1,16,17,0,11,11
106,3-Local body,BIDAR-2905,0,0,0,0,1,1,0,1,1,0,0,0,0,0,0
107,3-Local body,DHARWAD-2909,0,1,1,0,2,2,0,3,3,0,2,2,0,0,0
108,3-Local body,GADAG-2908,0,0,0,0,2,2,0,2,2,0,2,2,0,2,2
109,3-Local body,HAVERI-2911,0,0,0,0,1,1,0,1,1,0,2,2,0,0,0
110,3-Local body,KODAGU-2925,0,0,0,0,3,3,0,3,3,0,0,0,0,0,0
111,3-Local body,,0,2,2,1,23,24,1,25,26,1,41,42,0,17,17
112,4-Pvt. Aided,BAGALKOT-2902,3,6,9,50,57,107,53,63,116,74,51,125,15,21,36
113,4-Pvt. Aided,BALLARI-2912,3,2,5,26,62,88,29,64,93,71,37,108,9,16,25
114,4-Pvt. Aided,BELAGAVI CHIKKODI-2930,6,9,15,96,54,150,102,63,165,104,48,152,24,16,40
115,4-Pvt. Aided,BELAGAVI-2901,4,2,6,34,39,73,38,41,79,139,68,207,14,21,35
116,4-Pvt. Aided,BENGALURU RURAL-2921,0,0,0,7,8,15,7,8,15,42,7,49,4,3,7
117,4-Pvt. Aided,BENGALURU U NORTH-2928,0,11,11,2,134,136,2,145,147,11,113,124,0,25,25
118,4-Pvt. Aided,BENGALURU U SOUTH-2920,0,7,7,8,146,154,8,153,161,14,130,144,1,24,25
119,4-Pvt. Aided,BIDAR-2905,5,2,7,84,119,203,89,121,210,72,69,141,9,31,40
120,4-Pvt. Aided,CHAMARAJANAGARA-2927,7,0,7,22,13,35,29,13,42,39,16,55,3,3,6
121,4-Pvt. Aided,CHIKKABALLAPURA-2929,1,0,1,29,18,47,30,18,48,33,13,46,3,2,5
122,4-Pvt. Aided,CHIKKAMANGALURU-2917,0,0,0,9,19,28,9,19,28,81,28,109,13,11,24
123,4-Pvt. Aided,CHITRADURGA-2913,4,1,5,27,44,71,31,45,76,154,46,200,32,21,53
124,4-Pvt. Aided,DAKSHINA KANNADA-2924,3,5,8,130,65,195,133,70,203,64,53,117,19,20,39
125,4-Pvt. Aided,DAVANAGERE-2914,3,5,8,66,79,145,69,84,153,108,63,171,12,22,34
126,4-Pvt. Aided,DHARWAD-2909,0,7,7,12,87,99,12,94,106,49,97,146,7,20,27
127,4-Pvt. Aided,GADAG-2908,1,7,8,18,28,46,19,35,54,57,43,100,11,16,27
128,4-Pvt. Aided,HASSAN-2923,1,0,1,31,18,49,32,18,50,95,36,131,12,16,28
129,4-Pvt. Aided,HAVERI-2911,4,2,6,25,36,61,29,38,67,112,47,159,26,24,50
130,4-Pvt. Aided,KALBURGI-2904,7,7,14,54,147,201,61,154,215,35,86,121,5,11,16
131,4-Pvt. Aided,KODAGU-2925,0,1,1,5,5,10,5,6,11,41,7,48,13,1,14
132,4-Pvt. Aided,KOLAR-2919,0,0,0,21,24,45,21,24,45,40,19,59,4,9,13
133,4-Pvt. Aided,KOPPAL-2907,1,2,3,13,18,31,14,20,34,17,15,32,4,3,7
134,4-Pvt. Aided,MANDYA-2922,1,2,3,40,17,57,41,19,60,75,22,97,15,10,25
135,4-Pvt. Aided,MYSURU-2926,1,9,10,41,90,131,42,99,141,59,77,136,5,8,13
136,4-Pvt. Aided,RAICHUR-2906,3,5,8,17,33,50,20,38,58,8,28,36,0,6,6
137,4-Pvt. Aided,RAMANAGARA-2932,1,0,1,13,15,28,14,15,29,63,11,74,9,6,15
138,4-Pvt. Aided,SHIVAMOGGA-2915,0,4,4,32,67,99,32,71,103,87,59,146,6,12,18
139,4-Pvt. Aided,TUMAKURU MADHUGIRI-2931,0,0,0,4,6,10,4,6,10,93,13,106,12,6,18
140,4-Pvt. Aided,TUMAKURU-2918,2,0,2,30,21,51,32,21,53,160,42,202,32,29,61
141,4-Pvt. Aided,UDUPI-2916,6,2,8,142,29,171,148,31,179,53,18,71,12,6,18
142,4-Pvt. Aided,UTTARA KANNADA SIRSI-2934,0,1,1,1,13,14,1,14,15,38,21,59,6,9,15
143,4-Pvt. Aided,UTTARA KANNADA-2910,4,1,5,7,16,23,11,17,28,62,27,89,13,7,20
144,4-Pvt. Aided,VIJAYAPURA-2903,31,3,34,56,59,115,87,62,149,141,70,211,32,23,55
145,4-Pvt. Aided,YADAGIRI-2933,2,0,2,12,27,39,14,27,41,6,11,17,0,5,5
146,4-Pvt. Aided,,104,103,207,1164,1613,2777,1268,1716,2984,2297,1491,3788,382,463,845
147,5-Pvt. Unaided,BAGALKOT-2902,128,74,202,137,137,274,265,211,476,65,86,151,21,44,65
148,5-Pvt. Unaided,BALLARI-2912,132,98,230,210,297,507,342,395,737,78,206,284,37,71,108
149,5-Pvt. Unaided,BELAGAVI CHIKKODI-2930,114,45,159,248,139,387,362,184,546,125,100,225,78,41,119
150,5-Pvt. Unaided,BELAGAVI-2901,86,37,123,120,123,243,206,160,366,59,89,148,49,48,97
151,5-Pvt. Unaided,BENGALURU RURAL-2921,8,2,10,164,63,227,172,65,237,107,54,161,26,31,57
152,5-Pvt. Unaided,BENGALURU U NORTH-2928,7,55,62,114,1161,1275,121,1216,1337,86,889,975,24,329,353
153,5-Pvt. Unaided,BENGALURU U SOUTH-2920,10,81,91,264,1565,1829,274,1646,1920,181,1179,1360,70,695,765
154,5-Pvt. Unaided,BIDAR-2905,127,91,218,210,233,443,337,324,661,90,154,244,33,95,128
155,5-Pvt. Unaided,CHAMARAJANAGARA-2927,28,8,36,60,44,104,88,52,140,25,37,62,11,30,41
156,5-Pvt. Unaided,CHIKKABALLAPURA-2929,19,11,30,135,95,230,154,106,260,83,57,140,31,58,89
157,5-Pvt. Unaided,CHIKKAMANGALURU-2917,21,25,46,98,71,169,119,96,215,52,39,91,18,19,37
158,5-Pvt. Unaided,CHITRADURGA-2913,25,20,45,102,111,213,127,131,258,61,71,132,22,22,44
159,5-Pvt. Unaided,DAKSHINA KANNADA-2924,24,11,35,179,139,318,203,150,353,153,123,276,61,56,117
160,5-Pvt. Unaided,DAVANAGERE-2914,53,54,107,147,177,324,200,231,431,53,102,155,21,44,65
161,5-Pvt. Unaided,DHARWAD-2909,43,68,111,60,194,254,103,262,365,33,149,182,18,116,134
162,5-Pvt. Unaided,GADAG-2908,42,41,83,38,86,124,80,127,207,16,57,73,13,39,52
163,5-Pvt. Unaided,HASSAN-2923,22,13,35,142,124,266,164,137,301,77,76,153,30,42,72
164,5-Pvt. Unaided,HAVERI-2911,71,36,107,91,92,183,162,128,290,38,62,100,29,43,72
165,5-Pvt. Unaided,KALBURGI-2904,126,123,249,258,414,672,384,537,921,114,268,382,42,178,220
166,5-Pvt. Unaided,KODAGU-2925,14,2,16,86,15,101,100,17,117,65,12,77,21,6,27
167,5-Pvt. Unaided,KOLAR-2919,15,24,39,169,142,311,184,166,350,104,81,185,33,44,77
168,5-Pvt. Unaided,KOPPAL-2907,106,50,156,108,86,194,214,136,350,44,56,100,21,29,50
169,5-Pvt. Unaided,MANDYA-2922,50,15,65,175,89,264,225,104,329,88,55,143,34,28,62
170,5-Pvt. Unaided,MYSURU-2926,59,35,94,206,283,489,265,318,583,123,223,346,48,119,167
171,5-Pvt. Unaided,RAICHUR-2906,129,83,212,182,178,360,311,261,572,72,111,183,45,74,119
172,5-Pvt. Unaided,RAMANAGARA-2932,16,6,22,96,85,181,112,91,203,62,57,119,20,16,36
173,5-Pvt. Unaided,SHIVAMOGGA-2915,34,22,56,112,162,274,146,184,330,60,100,160,13,46,59
174,5-Pvt. Unaided,TUMAKURU MADHUGIRI-2931,24,6,30,56,43,99,80,49,129,25,30,55,14,16,30
175,5-Pvt. Unaided,TUMAKURU-2918,30,16,46,102,138,240,132,154,286,47,86,133,18,48,66
176,5-Pvt. Unaided,UDUPI-2916,13,4,17,109,43,152,122,47,169,86,26,112,29,16,45
177,5-Pvt. Unaided,UTTARA KANNADA SIRSI-2934,9,2,11,22,26,48,31,28,59,17,21,38,1,10,11
178,5-Pvt. Unaided,UTTARA KANNADA-2910,10,8,18,46,26,72,56,34,90,31,23,54,11,10,21
179,5-Pvt. Unaided,VIJAYAPURA-2903,248,128,376,270,194,464,518,322,840,118,106,224,82,64,146
180,5-Pvt. Unaided,YADAGIRI-2933,77,39,116,108,106,214,185,145,330,26,58,84,14,46,60
181,5-Pvt. Unaided,,1920,1333,3253,4624,6881,11505,6544,8214,14758,2464,4843,7307,1038,2573,3611
182,6-Others State Govt. Managed Schools,BAGALKOT-2902,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0
183,6-Others State Govt. Managed Schools,BALLARI-2912,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0
184,6-Others State Govt. Managed Schools,BELAGAVI-2901,0,0,0,7,6,13,7,6,13,2,1,3,0,0,0
